provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
loki,baseline,976,7043,gzip,0.010956582991639152,200,7042,14160,14278,20,20,4,4,1.0,True,accepted,0.00293333301669918,15951,9,2026-08-02T11:35:54+00:00
tempo,baseline,721,721,identity,0.008067999995546415,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003043329925276339,5538,9,2026-08-02T11:35:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.038488709018565714,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015264170069713145,57889,10,2026-08-02T11:36:24+00:00
prometheus,baseline,1502,53178,gzip,0.012644834001548588,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0043272080074530095,175505,10,2026-08-02T11:36:24+00:00
loki,baseline,976,7043,gzip,0.011733624996850267,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.003465125017100945,15951,10,2026-08-02T11:36:24+00:00
tempo,baseline,721,721,identity,0.01870420901104808,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00033133302349597216,5538,10,2026-08-02T11:36:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.02964416696340777,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0016380829911213368,57889,11,2026-08-02T11:36:54+00:00
prometheus,baseline,1502,53178,gzip,0.013880374986911193,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004359666985692456,175505,11,2026-08-02T11:36:54+00:00
loki,baseline,976,7042,gzip,0.01881366700399667,200,7041,14161,14279,20,20,4,4,1.0,True,accepted,0.002968499989947304,15951,11,2026-08-02T11:36:54+00:00
tempo,baseline,721,721,identity,0.01629908400354907,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00030179100576788187,5538,11,2026-08-02T11:36:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.030987915000878274,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0014979589905124158,57889,12,2026-08-02T11:37:24+00:00
prometheus,baseline,1502,53178,gzip,0.018085874995449558,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004236459004459903,175505,12,2026-08-02T11:37:24+00:00
loki,baseline,975,7043,gzip,0.017098583019105718,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.002938707999419421,15951,12,2026-08-02T11:37:24+00:00
tempo,baseline,721,721,identity,0.013906417007092386,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003372920036781579,5538,12,2026-08-02T11:37:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.035300540970638394,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0016923749935813248,57889,13,2026-08-02T11:37:54+00:00
prometheus,baseline,1502,53178,gzip,0.009086834004847333,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004426832980243489,175505,13,2026-08-02T11:37:54+00:00
loki,baseline,975,7044,gzip,0.008920666004996747,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0027908750053029507,16045,13,2026-08-02T11:37:54+00:00
tempo,baseline,721,721,identity,0.006929082999704406,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0002940419944934547,5538,13,2026-08-02T11:37:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.029528251965530217,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015490829828195274,57889,14,2026-08-02T11:38:24+00:00
prometheus,baseline,1502,53178,gzip,0.009053582994965836,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004127167019760236,175505,14,2026-08-02T11:38:24+00:00
loki,baseline,976,7044,gzip,0.012114957993617281,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.00298099999781698,17972,14,2026-08-02T11:38:24+00:00
tempo,baseline,721,721,identity,0.008939375024056062,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003066660137847066,5538,14,2026-08-02T11:38:24+00:00
