provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
loki,stress,19648,19648,controlled-amplification,0.0,200,19648,27788,27906,80,80,4,4,1.0,True,accepted,0.010731167014455423,46638,8,2026-08-02T12:05:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0743085419817362,2012576,8,2026-08-02T12:05:35+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.01963391702156514,764379,9,2026-08-02T12:06:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011358541989466175,1025999,9,2026-08-02T12:06:05+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27788,27906,80,80,4,4,1.0,True,accepted,0.010885875002713874,46732,9,2026-08-02T12:06:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07756474998313934,2012576,9,2026-08-02T12:06:05+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.02036437499918975,764379,10,2026-08-02T12:06:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01229241699911654,1026215,10,2026-08-02T12:06:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.011554209020687267,46638,10,2026-08-02T12:06:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07528175000334159,2012576,10,2026-08-02T12:06:35+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.01978041700203903,764379,11,2026-08-02T12:07:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011351458000717685,1025999,11,2026-08-02T12:07:05+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.010977666999679059,46497,11,2026-08-02T12:07:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07369883300270885,2012576,11,2026-08-02T12:07:05+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.020785375003470108,764379,12,2026-08-02T12:07:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011913416004972532,1025999,12,2026-08-02T12:07:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.01079949998529628,46497,12,2026-08-02T12:07:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0781934580008965,2013296,12,2026-08-02T12:07:35+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.020433791010873392,764379,13,2026-08-02T12:08:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011963666998781264,1025999,13,2026-08-02T12:08:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.0111288339830935,46497,13,2026-08-02T12:08:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07623325000167824,2012576,13,2026-08-02T12:08:05+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.020107084012124687,764379,14,2026-08-02T12:08:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011421250004786998,1025999,14,2026-08-02T12:08:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010613000020384789,46544,14,2026-08-02T12:08:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07873716700123623,2013792,14,2026-08-02T12:08:35+00:00
kubernetes,stress,835690,835690,controlled-amplification,0.0,200,835690,253170,253300,400,221,2,2,1.0,True,accepted,0.021590416989056394,764379,15,2026-08-02T12:09:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01197316698380746,1025999,15,2026-08-02T12:09:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010826499987160787,46497,15,2026-08-02T12:09:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0921020419918932,2012576,15,2026-08-02T12:09:05+00:00
kubernetes,stress,525871,525871,controlled-amplification,0.0,200,525871,215590,215720,140,161,2,0,0.0,True,accepted,0.017795874999137595,643189,16,2026-08-02T12:09:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.012395458994433284,1025999,16,2026-08-02T12:09:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.011809000017819926,46497,16,2026-08-02T12:09:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07387120800558478,2012576,16,2026-08-02T12:09:35+00:00
kubernetes,stress,525871,525871,controlled-amplification,0.0,200,525871,215590,215720,140,161,2,0,0.0,True,accepted,0.017418625007849187,643189,17,2026-08-02T12:10:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011086457991041243,1025999,17,2026-08-02T12:10:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010535667010117322,46497,17,2026-08-02T12:10:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07329412500257604,2012576,17,2026-08-02T12:10:05+00:00
kubernetes,stress,525871,525871,controlled-amplification,0.0,200,525871,215590,215720,140,161,2,0,0.0,True,accepted,0.018632291990797967,643189,18,2026-08-02T12:10:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.013361624995013699,1025999,18,2026-08-02T12:10:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010910124983638525,46497,18,2026-08-02T12:10:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07669570899452083,2012576,18,2026-08-02T12:10:35+00:00
kubernetes,stress,525871,525871,controlled-amplification,0.0,200,525871,215590,215720,140,161,2,0,0.0,True,accepted,0.018429582996759564,643189,19,2026-08-02T12:11:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.012158957979409024,1025999,19,2026-08-02T12:11:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.011311665992252529,46497,19,2026-08-02T12:11:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.08193112499429844,2012576,19,2026-08-02T12:11:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.01916616701055318,728747,20,2026-08-02T12:11:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011244459019508213,1025999,20,2026-08-02T12:11:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010590874997433275,46497,20,2026-08-02T12:11:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0735697910131421,2012576,20,2026-08-02T12:11:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.02030420899973251,728747,21,2026-08-02T12:12:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011252875003265217,1026215,21,2026-08-02T12:12:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010601499991025776,46497,21,2026-08-02T12:12:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07453437501681037,2012576,21,2026-08-02T12:12:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019630791997769848,728747,22,2026-08-02T12:12:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011997666006209329,1025999,22,2026-08-02T12:12:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010673250013496727,46544,22,2026-08-02T12:12:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07499220798490569,2012576,22,2026-08-02T12:12:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.01984604200697504,728747,23,2026-08-02T12:13:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.012241332995472476,1025999,23,2026-08-02T12:13:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.011364249978214502,46497,23,2026-08-02T12:13:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.08190683298744261,2013792,23,2026-08-02T12:13:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.01928391700494103,728747,24,2026-08-02T12:13:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011198999971384183,1025999,24,2026-08-02T12:13:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010665208013961092,46497,24,2026-08-02T12:13:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0892174159816932,2012576,24,2026-08-02T12:13:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.01969429201562889,728747,25,2026-08-02T12:14:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.0115028329892084,1025999,25,2026-08-02T12:14:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010722375009208918,46497,25,2026-08-02T12:14:05+00:00
