service,usage_gb,gross_usage_cost_usd,share_percent,period_start,period_end_exclusive,captured_at,estimated
EC2 - Other,29573.8446168750,295.7284461740,99.629851825,2026-07-04,2026-07-28,2026-08-01,true
Elastic Load Balancing,109.8737417986,1.0987374199,0.370148175,2026-07-04,2026-07-28,2026-08-01,true
